AAA,Anaa
CCV,Craig Cove
CCW,Cowell
CCX,Caceres
CCY,Municipal
CCZ,Chub Cay
CDA,Cooinda
CDB,Cold Bay 
CDC,Cedar City 
CDD,Cauquira
CDE,Caledonia
CDG,Paris
CDH,Harrell Field
CDI,Cachoeiro Itapemirim
CDJ,Conceicao Do Araguaia
CDK,Lewis
CDL,Candle
CDN,Woodward Field
CDO,Cradock
CDP,Cuddapah
CDQ,Croydon
CDR,Chadron 
CDS,Childress
CDT,Castellon
CDU,Camden
CDV,Mudhole Smith 
CDW,Caldwell Wright
CDY,Cagayan De Sulu
CDZ,Cadiz
CEA,Cessna Aircraft Field
CEB,Cebu
CEC,Del Norte County Regional 
CED,Ceduna 
CEE,Cherepovets 
CEF,Westover ARB/Metropolitan
CEG,Hawarden 
CEH,Chelinda
CEI,Chiang Rai 
CEK,Chelyabinsk 
CEL,Cape Eleuthera
CEM,Central
CEN,Ciudad Obregon 
CEO,Waco Kungo
CEP,Concepcion
CEQ,Mandelieu
CER,Maupertus
CES,Cessnock
CET,Le Pontreau
CEU,Oconee County
CEV,Mettle Field
CEW,Bob Sikes
CEX,Chena Hot Springs
CEY,Calloway County
CEZ,Montezuma County 
CFA,Coffee Point
CFB,Cabo Frio 
CFC,Cacador
CFD,Coulter Field
CFE,Clermont-Ferrand Auvergne 
CFF,Cafunfo
CFG,Jaime Gonzalez 
CFH,Clifton Hills
CFI,Camfield
CFK,Chlef 
CFM,Conklin (Leismer) 
CFN,Donegal 
CFO,Confreza
CFP,Carpentaria Downs
CFQ,Creston Valley 
CFR,Carpiquet 
CFS,Coffs Harbour 
CFT,Morenci
CFU,Ioannis Kapodistrias 
CFV,Municipal
CGA,Craig SPB
CGB,Marechal Rondon 
CGC,Cape Gloucester
CGD,Changde 
CGE,Cambridge
CGF,Cuyahoga County
CGG,Casiguran
CGH,Sao Paulo/Congonhas 
CGI,Cape Girardeau 
CGJ,Chingola
CGK,Jakarta
CGM,Mambajao
CGN,Cologne Bonn 
CGO,Zhengzhou Xinzheng 
CGP,Shah Amanat 
CGQ,Changchun Longjia 
CGR,Campo Grande 
CGS,College Park
CGT,Chinguitti
CGV,Caiguna
CGX,Merrill C Meigs
CGY,Laguindingan 
CGZ,Municipal
CHA,Chattanooga 
CHB,Chilas
CHC,Christchurch 
CHF,Jinhae
CHG,Chaoyang 
CHH,Chachapoyas
CHI,Chicago FSS
CHJ,Chipinge
CHK,Chickasha
CHL,Challis
CHM,Chimbote
CHN,Jeonju
CHO,Charlottesville Albemarle 
CHP,Circle Hot Springs
CHQ,Chania 
CHR,Chateauroux
CHS,Charleston 
CHT,Karewa
CHU,Chuathbaluk 
CHV,Chaves
CHW,Jiuhuang
CHX,Changuinola
CHY,Choiseul Bay 
CHZ,State
CIA,Ciampino-G. B. Pastine 
CIB,Ap In The Sky
CIC,Chico Municipal 
CID,The Eastern Iowa 
CIE,Collie
CIF,Chifeng 
CIG,Craig-Moffat
CIH,Changzhi 
CII,Cildir
CIJ,E. Beltram 
CIK,Chalkyitsik
CIL,Melsing Creek
CIM,Cimitarra
CIN,Carroll
CIO,MCAL Lopez
CIP,Chipata
CIQ,Chiquimula
CIR,Cairo
CIS,Canton Island
CIT,Shymkent 
CIU,Chippewa County 
CIV,Chomley
CIW,Canouan Island
CIX,Cornel Ruiz 
CIY,Comiso 
CIZ,Coari
CJA,Cajamarca 
CJB,Coimbatore 
CJC,Calama 
CJD,Candilejas
CJF,Coondewanna 
CJH,Chilko Lake
CJJ,Cheongju 
CJL,Chitral
CJM,Chumphon 
CJN,Gillespie Field
CJS,Abraham Gonzalez 
CJT,Copalar
CJU,Jeju 
CJZ,Cajazeiras 
CKA,Kegelman Af
CKB,Benedum 
CKC,Cherkassy
CKD,Crooked Creek
CKE,Clear Lake
CKG,Chongqing Jiangbei 
CKH,Chokurdah 
CKI,Croker Island
CKK,Cherokee
CKL,Chkalovsky
CKM,Fletcher Field
CKN,Municipal
CKO,Cornelio Procopio
CKR,Crane Island
CKS,Carajas 
CKT,Sarakhs
CKU,City
CKV,Outlaw Field
CKW,Christmas Creek Mine
CKX,Chicken
CKY,Conakry 
CKZ,Canakkale 
CLA,Comilla
CLC,Metroport
CLD,McClellan-Palomar 
CLE,Cleveland Hopkins 
CLG,Coalinga
CLH,Coolah
CLI,Clintonville
CLJ,Avram Iancu Cluj 
CLK,Municipal
CLL,Easterwood 
CLM,Fairchild
CLN,Carolina
CLO,Cali 
CLP,Clarks Point
CLQ,Colima 
CLR,Calipatria
CLS,Centralia
CLT,Charlotte Douglas 
CLU,Columbus Municipal
CLV,Caldas Novas
CLW,Executive
CLX,Clorinda
CLY,Sainte Catherine 
CLZ,Calabozo
CMA,Cunnamulla
CMB,Colombo 
CMC,Camocim
CMD,Cootamundra
CME,Ciudad Del Carmen 
CMF,Chambery
CMG,Corumba Internacional 
CMH,John Glenn Columbus 
CMI,Willard University 
CMJ,Chi Mei
CMK,Club Makokola
CML,Camooweal
CMM,Carmelita
CMN,Mohamed V 
CMO,Obbia
CMP,Campo Alegre
CMQ,Clermont
CMR,Colmar-houssen
CMS,Scusciuban
CMT,Cameta
CMU,Chimbu
CMV,Coromandel
CMW,Ign Agramonte 
CMX,Houghton County 
CMY,Fort Mccoy
CMZ,Caia
CNA,Cananea
CNB,Coonamble
CNC,Coconut Island
CND,Kogalniceanu 
CNE,Canon City
CNF,Tancredo Neves 
CNG,Parvaud
CNH,Municipal
CNI,Changhai
CNJ,Cloncurry 
CNK,Blosser Municipal
CNL,Sindal
CNM,Cavern City Air Terminal
CNN,Kannur 
CNO,Chino
CNP,Neerlerit Inaat 
CNQ,Camba Punta 
CNR,Chanaral
CNS,Cairns
CNT,Charata
CNU,Martin Johnson
CNV,Canavieiras
CNW,TSTC Waco 
CNX,Chiang Mai 
CNY,Canyonlands Field
CNZ,Cangamba
COA,Columbia
COB,Coolibah
COC,Concordia
COD,Yellowstone Regional 
COE,Coeur D'Alene
COF,Patrick AFB
COG,Mandinga
COH,Cooch Behar
COI,Merritt Island
COJ,Coonabarabran
COK,Cochin 
COL,Isle Of Coll
COM,Coleman
CON,Concord
COO,Cotonou 
COP,Cooperstown - Westville 
COQ,Choibalsan
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella 
COS,Colorado Springs 
COT,Cotulla
COU,Columbia Regional 
COV,Covilha
COW,Coquimbo
COY,Coolawanyah
COZ,Constanza
CPA,A. Tubman
CPB,Capurgana
CPC,Chapelco 
CPD,Coober Pedy 
CPE,Campeche 
CPF,Cepu
CPG,Carmen De Patagones
CPH,Copenhagen 
CPI,Cape Orford
CPL,Chaparral
CPM,Compton
CPN,Cape Rodney
CPO,Chamonate 
CPP,Coposa 
CPQ,International
CPR,Casper/Natrona County 
CPS,St. Louis Downtown 
CPT,Le Cap 
CPU,Cururupu
CPV,Joao Suassuna 
CPX,Benjamin Rivera Noriega 
CQA,Canarana 
CQD,Shahre-kord
CQF,Calais
CQM,Ciudad Real Central
CQP,Cape Flattery
CQS,Costa Marques
CQT,Caquetania
CQW,CHERAW MUNI/LYNCH BELLINGER FLD 
CRA,Craiova 
CRB,Collarenebri
CRC,Cartago
CRD,General E. Mosconi 
CRE,Grand Strand 
CRF,Carnot
CRG,Craig Municipal
CRH,Cherribah
CRI,Crooked Island 
CRJ,Coorabie
CRK,Diosdado Macapagal (Clark)
CRL,Charleroi Brussels South 
CRM,National 
CRO,Corcoran
CRP,Corpus Christi 
CRQ,Caravelas
CRR,Ceres
CRS,Corsicana
CRT,Municipal
CRU,Carriacou Island
CRV,Crotone
CRW,Yeager 
CRX,Roscoe Turner
CRY,Carlton Hill
CRZ,Turkmenabad
CSA,Isle Of Colonsay
CSB,Caransebes
CSC,Canas
CSD,Cresswell Downs
CSE,Crested Butte
CSF,Creil
CSG,Columbus 
CSH,Solovky
CSI,Casino
CSJ,Cape St Jacques
CSK,Cap Skirring
CSL,O Sullivan Army Air Field
CSM,Sherman
CSN,Carson City
CSO,Cochstedt
CSP,Cape Spencer C G Heliport
CSQ,Creston
CSR,Casuarito
CSS,Cassilandia
CST,Castaway
CSU,Santa Cruz Do Sul
CSV,Memorial
CSW,Colorado do Oeste
CSX,Changsha Huanghua 
CSY,Cheboksary 
CSZ,Brigadier Hector Ruiz
CTA,Catania-Fontanarossa 
CTB,Cut Bank
CTC,Catamarca 
CTD,Chitre
CTE,Carti
CTF,Coatepeque 
CTG,Carthagène 
CTH,Chestercounty Carlson
CTI,Cuito Cuanavale
CTK,Canton
CTL,Charleville 
CTM,Chetumal 
CTN,Cooktown 
CTO,Peconic River
CTP,Carutapera
CTQ,Do Palmar
CTR,Cattle Creek
CTS,New Chitose 
CTT,Le Castellet
CTU,Chengdu Shuangliu 
CTV,Catoca 
CTW,Cottonwood
CTX,Cortland
CTY,Cross City
CTZ,Sampson County
CUA,Ciudad Constitucii³n 
CUB,Owens Field
CUC,Camilo Daza 
CUD,Caloundra
CUE,Mariscal Lamar 
CUF,Levaldigi 
CUG,Cudal
CUH,Municipal
CUI,Currillo
CUJ,Culion
CUK,Caye Caulker
CUL,Culiacan 
CUM,Cumana
CUN,Cancun 
CUO,Caruru
CUP,Carupano
CUQ,Coen
CUR,Curacao 
CUS,Municipal
CUT,Cutral
CUU,Gen Fierro Villalobos 
CUV,Casigua
CUW,Cube Cove
CUX,Cuddihy Field
CUY,Cue
CUZ,Cusco 
CVA,Civic Ar Heli
CVB,Chungribu
CVC,Cleve
CVE,Covenas
CVF,Courchevel
CVG,Cincinnati/Northern Kentucky 
CVH,Caviahue
CVI,Caleta Olivia
CVJ,General Mariano Matamoros 
CVL,Cape Vogel
CVM,Ciudad Victoria 
CVN,Clovis Municipal 
CVO,Albany
CVQ,Carnarvon 
CVR,Hughes
CVS,Cannon AFB
CVT,Coventry 
CVU,Corvo Island (Azores) 
CWA,Central Wisconsin 
CWB,Afonso Pena 
CWC,Chernivtsi 
CWF,Chennault.
CWG,Callaway Gardens
CWI,Clinton
CWJ,Cangyuan Washan 
CWK,Chitrakoot 
CWL,Cardiff 
CWO,Ft Wolter AAF
CWP,Campbellpore
CWR,Cowarie
CWS,Center Island
CWT,Cowra
CWW,Corowa
CWX,Cochise County 
CXA,Caicara Del Orinoco
CXB,Coxs Bazar 
CXC,Chitina 
CXF,Coldfoot
CXH,Coal Harbour Sea Plane Base
CXI,Christmas Island 
CXJ,Hugo Cantergiani Regional 
CXL,International
CXN,Candala
CXO,Montgomery Co
CXP,Tunggul Wulung
CXQ,Christmas Creek
CXR,Cam Ranh 
CXT,Charters Towers
CXY,Cat Cays
CYA,Les Cayes
CYB,Charles Kirkconnel 
CYC,Caye Chapel
CYD,San Ignacio Town Airstrip
CYE,Crystal Lake
CYF,Chefornak Sea Plane Base
CYG,Corryong
CYI,Chiayi 
CYL,Coyoles
CYM,Chatham SPB
CYO,Cayo Largo Del Sur 
CYP,Calbayog 
CYR,Laguna De Los Patos
CYS,Cheyenne
CYT,Intermediate
CYU,Cuyo
CYW,Celaya
CYX,Cherskiy 
CYZ,Cauayan 
CZA,Chichen Itza
CZB,Carlos Ruhl
CZC,Copper Centre
CZE,Coro
CZF,Cape Romanzof
CZH,Corozal
CZJ,Corazon De Jesus
CZK,Cascade Locks/Stevens
CZL,Ain El Bey 
CZM,Cozumel 
CZN,Chisana Field
CZO,Chistochina
CZP,Cape Pole
CZR,Chara Kyust-Kemda 
CZS,Campo Internacional 
CZT,Carrizo Springs
CZU,Corozal 
CZW,Czestochowa
CZX,Changzhou 
CZY,Cluny
CZZ,Campo
DAA,Davison AAF
DAB,Daytona Beach 
DAC,Hazrat Shahjalal 
DAD,Da Nang 
DAF,Daup
DAG,Barstow-Daggett
DAH,Dathina
DAJ,Dauan Island
DAK,Dakhla
DAL,Dallas Love Field
DAM,Damascus 
DAN,Municipal
DAO,Dabo
DAP,Darchula
DAR,Julius Nyerere 
DAS,Great Bear Lake
DAT,Datong 
DAU,Daru 
DAV,Enrique Malek 
DAX,Dazhou Heshi 
DAY,James M. Cox Dayton 
DAZ,Darwaz
DBA,Dalbandin
DBB,Alalamain
DBC,Baicheng Chang'an
DBD,Dhanbad
DBK,Dutch Bay SPB Seaplane Base
DBM,Debra Marcos
DBN,Municipal
DBO,Dubbo City Regional 
DBP,Debepare
DBQ,Dubuque Municipal 
DBR,Darbhanga 
DBS,Dubois
DBT,Debra Tabor
DBU,Dambulu Oya Tank
DBV,Dubrovnik
DBY,Dalby
DCA,Ronald Reagan National 
DCF,Canefield 
DCG,Dubai Creek SPB
DCI,Rafsu Decimomannu
DCK,Dahl Creek 
DCM,Mazamet 
DCN,RAAF Curtin
DCP,Cabin Plant Heliport
DCR,Decatur Hi-Way
DCT,Duncan Town
DCU,Pyor
DCY,Daocheng Yading 
DDC,Dodge City Municipal 
DDD,Dhaalu 
DDG,Langtou 
DDI,Daydream Island
DDM,Dodoima
DDN,Delta Downs
DDP,Dorado Beach
DDR,Shigatse Tingri 
DDU,Dadu
DEA,Dera Ghazi Khan 
DEB,Debrecen 
DEC,Decatur 
DED,Dehra Dun 
DEE,Mendeleyevo 
DEF,Dezful 
DEH,Municipal
DEI,Denis Island
DEL,Delhi 
DEM,Dembidollo
DEN,Denver 
DEO,Hyatt Regency Heliport
DEP,Deparizo
DEQ,Deqing Moganshan 
DER,Derim
DES,Desroches
DET,Detroit City
DEX,Nop Goliat 
DEZ,Al Jafrah
DFA,Danfeng 
DFI,Memorial
DFP,Drumduff
DFW,Dallas/Fort Worth 
DGA,Dangriga
DGB,Danger Bay
DGC,Degahbur
DGD,Dalgaranga
DGE,Mudgee
DGF,Douglas Lake
DGG,Daugo
DGH,Deoghar 
DGK,Dugong
DGL,Douglas Municipal
DGM,Dongguan
DGN,NAF
DGO,Guadalupe Victoria 
DGP,Daugavpils
DGR,Dargaville
DGT,Dumaguete 
DGU,Dedougou
DGW,Converse County
DHA,King Abdulaziz AB
DHB,Deer Harbor
DHD,Durham Downs
DHF,Al Dhafra Military 
DHG,Dalnegorks
DHI,Dhangarhi
DHL,Dhala
DHM,Gaggal 
DHN,Dothan Regional 
DHO,Horn River
DHR,De Kooy/Den Helder 
DHT,Dalhart
DHX,Dhoho 
DIA,Doha 
DIB,Dibrugarh 
DIE,Antsiranana/Arrachart
DIG,Diqing Shangri-La 
DIJ,Dijon
DIK,Dickinson Regional 
DIL,Comoro 
DIM,Dimbokro
DIN,Dien Bien 
DIO,Diomede Island
DIP,Diapaga
DIQ,Divinopolis
DIR,Aba Tenna D Yilma 
DIS,Loubomo
DIU,Diu 
DIV,Divo
DIW,Mawella Lagoon 
DIY,Diyarbakir 
DJA,Djougou
DJB,Sultan Thaha 
DJE,Melita 
DJG,Inedbirenne 
DJH,Jebel Ali Seaplane Base
DJJ,Sentani 
DJM,Djambala
DJN,Delta Junction
DJO,Daloa
DJU,Djupivogur
DKA,Katsina
DKI,Dunk Island
DKK,Dunkirk
DKL,Kiwigana Lodge Heliport
DKR,Dakar 
DKS,Dikson
DKV,Docker River
DLA,Douala 
DLB,Dalbertis
DLC,Dalian Zhoushuizi 
DLE,Dole-Jura 
DLF,Laughlin AFB
DLG,Dillingham 
DLH,Duluth 
DLI,Lien Khuong 
DLK,Dulkaninna
DLL,Dillon
DLM,Dalaman 
DLN,Dillon
DLO,Dolomi
DLR,Dalnerechensk 
DLS,Columbia Gorge Regional/The Dalles Municipal 
DLU,Dali 
DLV,Delissaville
DLY,Dillons Bay
DLZ,Dalanzadgad
DMA,Davis Monthan AFB
DMB,Jambyl 
DMD,Doomadgee 
DME,Moscow Domodedovo 
DMK,Don Mueang 
DMM,King Fahd 
DMN,Deming
DMO,Sedalia
DMR,Dhamar
DMT,Diamantino
DMU,Dimapur 
DNA,Kadena AB
DNB,Dunbar
DND,Dundee 
DNE,Dallas North 
DNF,Martuba
DNG,Doongan
DNH,Dunhuang 
DNI,Wad Medani
DNK,Dnepropetrovsk 
DNL,Daniel Field
DNM,Denham
DNN,Municipal
DNO,Dianopolis
DNP,Dang
DNQ,Deniliquin
DNR,Pleurtuit 
DNS,Municipal
DNT,Downtown Heliport
DNU,Dinangat
DNV,Vermilion County
DNX,Galegu
DNZ,Cardak 
DOA,Doany
DOB,Dobo 
DOC,Dornoch
DOD,Dodoma 
DOE,Djoemoe
DOF,Dora Bay
DOG,Dongola
DOH,Doha 
DOI,Doini
DOK,Donetsk 
DOL,Saint Gatien 
DOM,Melville Hall 
DON,Dos Lagunas
DOO,Dorobisoro
DOP,Dolpa
DOR,Dori
DOS,Dios
DOU,Dourados 
DOV,Dover AFB
DOX,Dongara
DOY,Dongying 
DPA,DuPage 
DPB,Pampa Guanaco 
DPE,Dieppe
DPG,Michael AAF
DPK,Deer Park
DPL,Dipolog 
DPO,Devonport 
DPS,Denpasar 
DPT,Deputatsky
DPU,Dumpu
DQA,Daqing Shi 
DQM,Duqm 
DRA,Desert Rock
DRB,Derby
DRC,Dirico
DRD,Dorunda Station
DRE,Drummond Island
DRF,Drift River
DRG,Deering 
DRH,Dabra
DRI,Beauregard Parish
DRJ,Drietabbetje
DRK,Drake Bay
DRN,Dirranbandi
DRO,Durango-La Plata County 
DRP,Bicol 
DRR,Durrie
DRS,Dresde 
DRT,Del Rio 
DRU,Drummond
DRV,Dharavandhoo 
DRW,Darwin 
DRY,Drysdale River
DSA,Doncaster Sheffield 
DSC,Dschang
DSD,La Desirade
DSE,Combolcha
DSG,Dilasag
DSI,Destin-Fort Walton Beach 
DSK,Dera Ismail Khan
DSM,Des Moines 
DSN,Ordos Ejin Horo 
DSO,Sondok
DSS,Blaise Diagne 
DST,Dubai Seaplane Terminal
DSV,Dansville
DSX,Dongsha Island
DSY,Dara Sakor 
DTA,Delta
DTB,Sisingamangaraja XII 
DTD,Datadawai
DTE,Naga
DTH,Death Valley
DTI,Diamantina
DTL,Municipal
DTM,Dortmund 
DTN,Shreveport Downtown
DTR,Decatur Island
DTU,Wudalianchi Dedu 
DTW,Detroit Metropolitan Wayne County 
DUA,Eaker
DUB,Dublin 
DUC,Halliburton Field
DUD,Dunedin 
DUE,Dundo
DUF,Pine Island 
DUG,Bisbee-Douglas
DUJ,Du Bois-Jefferson County
DUK,Dukuduk
DUM,Pinang Kampai
DUN,Dundas
DUQ,Duncan/Quam
DUR,Durban 
DUS,Dusseldorf 
DUT,Unalaska 
DVD,Andavadoaka
DVK,Diavik
DVL,Devils Lake 
DVN,Davenport
DVO,Francisco Bangoy Intl 
DVP,Davenport Downs
DVR,Daly River
DVT,Phoenix Deer Valley 
DWA,Dwangwa
DWB,Soalala
DWC,Dubai World Central - Al Maktoum 
DWD,Dawadmi 
DWF,Wright AFB
DWH,David Wayne Hooks
DWN,Downtown Airpark
DWO,Diyawanna Oya Seaplane Base
DWR,Dwyer Air Base
DWS,Walt Disney World
DXB,Dubai 
DXD,Dixie
DXE,Bruce Campbell Field
DXJ,Xiangxi Biancheng 
DXR,Danbury Municipal 
DYA,Dysart
DYG,Zhangjiajie Hehua 
DYL,Doylestown
DYM,Diamantina Lakes
DYR,Anadyr 
DYS,Dyess AFB
DYU,Dushanbe 
DYW,Daly Waters
DZA,Dzaoudzi 
DZH,Dazhou Jinya 
DZI,Codazzi
DZN,Zhezhazgan 
DZO,Santa Bernardina
DZU,Dazu
EAA,Eagle
EAB,Abbse
EAE,Emae
EAL,Elenak
EAM,Nejran
EAN,Phifer Field
EAP,Euro Basel-Mulhouse-Freiburg 
EAR,Kearney Regional 
EAS,San Sebastian 
EAT,Pangborn Field
EAU,Eau Claire 
EBA,Marina Di Campo 
EBB,Entebbe 
EBD,El Obeid
EBG,El Bagre
EBH,El Bayadh
EBJ,Esbjerg 
EBL,Erbil 
EBM,El Borma
EBN,Ebadon
EBO,Ebon 
EBR,Downtown
EBS,Municipal
EBU,Boutheon 
EBW,Ebolowa
ECA,Emmet County 
ECG,Elizabeth City
ECH,Echuca
ECI,Costa Esmeralda 
ECN,Ercan 
ECO,El Encanto
ECP,NW Florida Beaches Int
ECR,El Charco
ECS,Mondell
EDA,Edna Bay
EDB,Eldebba
EDD,Erldunda
EDE,Municipal
EDF,Elmendorf AFB
EDG,Weide AAF
EDI,Edimbourg 
EDK,El Dorado
EDL,Eldoret 
EDM,Les Ajoncs
EDN,Enterprise Muni 
EDO,Balikesir Koca Seyit 
EDQ,Erandique
EDR,Edward River
EDW,Edwards AFB
EEA,Aeroporto Regional do Planalto Serrano
EED,Needles
EEK,Eek 
EEN,Dillant-Hopkins
EES,Berenice 
EFB,Eight Fathom Bight
EFD,Ellington Field
EFG,Efogi
EFK,Newport
EFL,Kefallinia 
EFO,East Fork 
EFW,Municipal
EGA,Engati
EGC,Roumanieres 
EGE,Eagle County 
EGI,Duke Field
EGL,Neghelli
EGM,Sege 
EGN,Geneina 
EGO,Belgorod 
EGP,Maverick Co
EGS,Egilsstadir 
EGV,Eagle River
EGX,Egegik 
EHL,El Bolson
EHM,Cape Newenham
EHT,Rentschler
EHU,Ezhou Huahu 
EIA,Popondetta
EIB,Eisenach
EIE,Eniseysk
EIH,Einasleigh
EIK,Yeysk
EIL,Eielson AFB
EIN,Eindhoven 
EIS,Terrance B. Lettsome 
EIY,Ein Yahav
EJA,Variguies 
EJH,Wedjh 
EJN,Ejin Banner Taolai 
EJT,Enijet
EKA,Murray Field
EKB,Ekibastuz
EKD,Elkedra
EKE,Ekereku
EKI,Municipal
EKN,Elkins
EKO,Elko 
EKS,Shakhtyorsk 
EKT,Eskilstuna
EKX,Elizabethtown
ELA,Eagle Lake
ELB,San Bernado
ELC,Elcho Island 
ELD,South Arkansas Regional 
ELE,El Real
ELF,El Fasher 
ELG,El Golea 
ELH,North Eleuthera 
ELI,Elim 
ELJ,El Recreo
ELK,Municipal
ELL,Ellisras
ELM,Elmira Corning Regional 
ELN,Bowers Field
ELO,Eldorado
ELP,El Paso 
ELQ,Prince Nayef bin Abdulaziz Regional 
ELR,Elelim
ELS,East London 
ELT,Tour Sinai City
ELU,Guemar 
ELV,Elfin Cove SPB
ELW,Ellamar
ELX,El Tigre
ELY,Yelland
ELZ,Municipal
EMA,East Midlands 
EMB,Embarkadero
EMD,Emerald 
EME,Emden
EMG,Empangeni
EMI,Emirau
EMK,Emmonak 
EML,Emmen
EMM,Kemerer
EMN,Nema
EMO,Emo
EMP,Emporia
EMS,Embessa
EMT,El Monte
EMX,El Maiten
EMY,El Minya
ENA,Kenai Municipal 
ENB,Eneabba West
ENC,Essey
END,Vance AFB
ENE,H. Hasan Aroeboesman 
ENF,Enontekio
ENH,Enshi 
ENI,El Nido
ENJ,El Naranjo
ENK,Enniskillen St. Angelo
ENL,Municipal
ENN,Municipal
ENO,Teniente Prim Alarcon
ENQ,Coronel E Soto Cano AB
ENS,Twente
ENT,Enewetak Island
ENU,Enugu 
ENV,Wendover
ENW,Kenosha Regional 
ENY,Ershilipu 
EOH,Enrique Olaya Herrera 
EOI,Eday 
EOK,Keokuk
EOR,El Dorado
EOS,Neosho
EOZ,Elorza
EPA,El Palomar
EPG,Browns
EPH,Ephrata
EPI,Epi
EPL,Mirecourt
EPN,Epena
EPR,Esperance 
EPS,Arroyo Barril
EPT,Eliptamin
EPU,Parnu
EQS,Esquel 
ERA,Erigavo
ERB,Ernabella
ERC,Erzincan 
ERD,Berdyansk
ERE,Erave
ERF,Erfurt 
ERG,Erbogachen 
ERH,Moulay Ali Cherif 
ERI,Erie 
ERL,Eren Hot 
ERM,Comandante Kraemer
ERN,Eirunepe
ERQ,Elrose Mine
ERR,Errol
ERS,Eros 
ERT,Erdenet
ERU,Erume
ERV,Kerrville
ERZ,Erzurum 
ESA,Esa'Ala
ESB,Ankara
ESC,Delta County 
ESD,Orcas Island 
ESE,Ensenada
ESF,Esler Field
ESG,Mariscal Estigarribia
ESH,Shoreham
ESI,Espinosa
ESK,Eskisehir
ESL,Elista 
ESM,Esmeraldas 
ESN,Easton
ESO,Espanola
ESP,Birchwood-Pocono
ESR,El Salvador
ESS,Essen
EST,Municipal
ESU,Essaouira 
ESW,State
ETB,West Bend
ETD,Etadunna
ETE,Genda Wuha
ETH,Eilat 
ETL,Svetlaya 
ETM,Ramon 
ETN,Municipal
ETR,Coronel Artilleria Victor Larrea 
ETS,Municipal
ETZ,Metz-Nancy-Lorraine 
EUA,Kaufana
EUC,Eucla
EUE,Eureka
EUF,Weedon Field
EUG,Eugene 
EUM,Neumuenster
EUN,Hassan I 
EUO,Paratebueno
EUQ,Evelio Javier
EUX,F D Roosevelt 
EVA,Landing Strip
EVD,Eva Downs
EVE,Harstad/Narvik  Evenes
EVG,Sveg 
EVH,Evans Head
EVM,Eveleth
EVN,Erevan 
EVV,Evansville Regional 
EVW,Evanston
EVX,Evreux
EWB,New Bedford 
EWD,Wildman Lake
EWE,Ewer
EWI,Enarotali
EWK,City-County
EWN,Coastal Carolina Regional 
EWO,Ewo
EWR,New York
EXI,SPB
EXM,Exmouth Gulf
EXT,Exeter 
EYA,Zeya 
EYK,Beloyarsky 
EYL,Yelimane
EYP,El Yopal 
EYR,Yerington
EYS,Eliye Springs
EYW,Key West 
EZE,Buenos Aires 
EZS,Elazig 
EZV,Berezovo
FAA,Faranah
FAB,Farnborough
FAC,Faaite
FAE,Vagar 
FAF,Felker AAF
FAG,Fagurholsmyri
FAH,Farah
FAI,Fairbanks 
FAJ,Diego Jimenez Torres
FAK,False Island
FAL,Falcon State
FAM,Regional
FAO,Faro 
FAQ,Freida River
FAR,Hector 
FAS,Faskrudsfjordur
FAT,Fresno Yosemite 
FAU,Fahud
FAV,Fakarava 
FAY,Fayetteville Regional 
FAZ,Fasa
FBA,Fonte Boa
FBD,Faizabad 
FBE,Francisco Beltrao
FBG,Simmons AAF
FBK,Ft Wainwright
FBL,Municipal
FBM,Lubumbashi 
FBR,Fort Bridger
FBS,Friday Harbor SPB
FBY,Municipal
FCA,Glacier Park 
FCB,Ficksburg Sentra Oes
FCH,Fresno-Chandler
FCM,Flying Cloud 
FCN,Cuxhaven/Nordholz
FCO,Rome
FCS,Butts AAF
FCT,Firing Center AAF
FCY,Municipal
FDE,Bringeland 
FDF,Fort de France 
FDH,Friedrichshafen 
FDK,Frederick Municipal
FDR,Municipal
FDU,Bandundu
FDY,Findlay
FEA,Fetlar
FEB,Sanfebagar
FEC,Feira De Santana
FEG,Fergana 
FEJ,Feijo
FEK,Ferkessedougou
FEL,Fuerstenfeldbruck
FEN,Fernando De Noronha 
FEP,Albertus
FES,San Fernando
FET,Municipal
FEW,Warren AFB
FEZ,Fes-Saiss 
FFA,First Flight
FFD,Fairford RAF Station
FFL,Municipal
FFM,Fergus Falls
FFO,Patterson AFB
FFT,Capital City
FFU,Futaleufu
FGD,Fderik
FGI,Fagali I 
FGL,Fox Glacier
FGR,Fuengirola
FGU,Fangatau
FHU,Municipal
FHZ,Fakahina
FIC,Fire Cove
FID,Elizabeth Field
FIE,Fair Isle
FIG,Fria
FIH,N'djili 
FIK,Finke
FIL,Municipal
FIN,Finschhafen
FIV,Five Finger
FIZ,Fitzroy Crossing
FJR,Al-Fujairah
FKB,Baden-Airpark
FKI,Bangoka 
FKJ,Fukui
FKL,Venango Regional 
FKN,Municipal
FKQ,Fak Fak 
FKS,Fukushima 
FLA,Capitolio 
FLB,Cangapara
FLC,Falls Creek
FLD,Fond Du Lac
FLF,Schaferhaus
FLG,Flagstaff Pulliam 
FLH,Flotta
FLI,Flateyri
FLJ,Falls Bay
FLL,Fort Lauderdale 
FLM,Filadelfia
FLN,Hercilio Luz 
FLO,Florence 
FLP,Flippin
FLR,Firenze-Peretola 
FLS,Flinders Island 
FLT,Flat
FLU,Flushing
FLV,Sherman AAF
FLW,Santa Cruz 
FLX,Fallon Municipal 
FLY,Finley
FLZ,Ferdinand Lumban Tobing 
